,Society,event_name,attendance_count,interested_count,no_reply_count,declined_count,maybe_count,total_invited_count,description,place,city,country,street,zip,latitude,longitude,society_size,Start_time,Date,Campus
218,sydneyartssociety,Verge Festival // ARNA Journal Launch,80,102,389,0,102,673,"It is with great excitement and pride that the Sydney Arts Student Society, in conjunction with Verge Festival, finally invites all students to the launch of ARNA, our annual literary journal. 

This year's edition is an especially special one, coming together with the vision and drive of our incredible editorial team and the contributions of some particularly creative artists, poets, and storytellers on our campus. Not to mention a completely made over modern aesthetic, thanks to the amazing work of our chief designer Judy Zhu. From light-hearted anecdotal tales to brooding thought-provoking poetry to wide space natural photography, there's something for everybody in ARNA 2016 and we'd love for all of you to see what we've come up with. 

So from 5pm on the 10th of October come celebrate with us at one of Sydney's iconic cultural havens, the Museum of Contemporary Art. Enjoy the view from the balcony overlooking the harbour. View artwork from some of our best student artists and hear highly commended written work performed and spoken aloud by some of our talented contributors. 

We look forward to seeing you there,

Lamya and Eden
2016 ARNA Editor-in-chiefs
in partnership with Verge Festival",Museum of Contemporary Art Australia,Sydney,Australia,"140 George Street, The Rocks",2000.0,-33.8598583,151.2094045,4395,17:00:00+1100,2016-10-10,0
220,sydneyartssociety,SASS Dunks! Interfaculty Basketball (Male),4,6,22,0,6,38,"Week 8 Interfac Sport - Basketball (Male)

It will be indoor and no special gear is required. If youre keen to play on the SASS team make sure you wear a white shirt!

For more infromation contact SASS Sports Director Alex Vustyan through Facebook or on sydneyarts.sport@gmail.com",Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000005,4395,10:00:00+1000,2016-09-14,0
221,sydneyartssociety,R U OK? Day featuring Therapy Dogs!,584,797,525,0,797,2703,"Show your support for health and wellbeing on campus by joining us for R U OK? Day on ﻿Thursday the 8th of September 2016 from 12.30-2pm. 

We're arranging a visit for you from some four-legged friends from Delta Therapy Dogs! So come say hello, pat some cute dogs, connect with other FASS students and promote student health and wellbeing.

Share the smiles of you and your ""Mates who ask the question"" to enter our feel good photo competition.

Prizes are up for grabs for the most creative pics, whether they feature your human or four-legged mates! Submit by tagging #therapaws for your chance to win Mastercard gift vouchers, Ralph's coffee vouchers and more!

We'll be outside the Law Lawns on Eastern Avenue- just look for the people in yellow with the doggies.","Eastern Avenue, the University of Sydney",Sydney,Australia,Eastern Ave,2006.0,-33.88808745,151.1901869,4395,12:30:00+1000,2016-09-08,1
222,sydneyartssociety,SASS Dunks! Interfaculty Basketball (Female),3,2,19,0,2,26,"Week 7 Interfac Sport - Basketball (Female)

It will be indoor and no special gear is required. If youre keen to play on the SASS team make sure you wear a white shirt!

Mens Basketball will be held Week 8 and the event will be up shortly.

For more infromation contact SASS Sports Director Alex Vustyan through Facebook or on sydneyarts.sport@gmail.com",Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000005,4395,10:00:00+1000,2016-09-07,0
223,sydneyartssociety,SASS Climbs! - Interfaculty Rock Climbing (and Badminton),14,9,9,0,9,41,"Week 6 Interfac Sport - Rock Climbing and Badminton

Teams for Rock Climbing must consist of one girl and one boy each. Teams for Badminton will be male/female doubles and mixed doubles for tie breakers. It will be indoor and no special gear is required. If youre keen to play on the SASS team make sure you wear a white shirt!

For more infromation contact SASS Sports Director Alex Vustyan through Facebook or on sydneyarts.sport@gmail.com",The Ledge Climbing Centre,Sydney,Australia,"University of Sydney, Western Ave",2006.0,-33.88753459,151.18635840000005,4395,10:00:00+1000,2016-08-31,1
224,sydneyartssociety,SASS x Milk Bar by Cafe Ish!,68,189,401,0,189,847,"HELLO FELLOW SASS FRIENDS!

SASS would like to welcome you to the VERY FIRST burger eating event!

Getting the Week 5 assignment blues? WORRY NOT!

SASS has proudly partnered with Milkbar by Cafe ish (if you're a true Fattie and a member of the Burger Appreciation Society then you will know what we're about) and Hustle n Flow bar next door to give you a night of amazing, delicious AND CHEAP burgers, milkshakes and alcohol* that will blow your mind! + GOOD VIBES! 

$20 Burger and Chips - Gourmet burgers and hand-cut chips, Hell YAS. 
$6 Shakes - These are the bomb (literally if you're lactose intolerant) 
$5 Beer and Wine - Because who doesn't love cheap drinks? 

Additionally, we'll be having a burger eating competition to close out the night at 8.30pm! If you're game then come on down for SASS immortality, $100 Cash and  a Milk Bar by Cafe Ish T-Shirt!

So get keen and come down with a bunch of friends to Milk Bar by Cafe Ish (right by Redfern Station).

CAPACITY IS LIMITED, SO GET IN QUICK!

If you feel like youre going to balloon from this calorie bombardment, come along to Interfaculty Sport on Wednesday morning and make some room for the upcoming feast. https://www.facebook.com/events/850355801736991/

SASS x USU promotes responsible drinking",The Milk Bar by Cafe Ish,Redfern,Australia,1/105 Regent Street,2016.0,-33.89193,151.20091000000005,4395,17:00:00+1000,2016-08-24,0
225,sydneyartssociety,SASS Spikes! Interfaculty Mixed Volleyball,12,17,19,0,17,65,"Week 5 interfac sport - Mixed Volleyball!

Teams must have at least two boys and two girls to play. It will be indoor and no special gear is required. If youre keen to play on the SASS team make sure you wear a white shirt!

For more infromation contact SASS Sports Director Alex Vustyan through Facebook or on sydneyarts.sport@gmail.com

Stick around Uni after sport for our SASS burgers event and cop a good post-sports feed https://www.facebook.com/events/1758153284442069/",Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000005,4395,10:00:00+1000,2016-08-24,0
226,sydneyartssociety,SASS Shoots! Interfaculty Mixed Netball,11,24,28,0,24,87,"Week 4 interfac sport - Mixed netball

We will be playing indoors and no special gear is required. If youre keen to play on the SASS team make sure you wear a white shirt!

For more infromation contact SASS Sports Director Alex Vustyan through Facebook or on sydneyarts.sport@gmail.com",Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000005,4395,10:00:00+1000,2016-08-17,0
227,sydneyartssociety,SASS Kicks! - Interfaculty Mixed Futsal,10,21,67,0,21,119,"Greetings all SASSers and SASSettes, welcome to semester 2 interfaculty sport starting with mixed futsal. 

Teams will be 5 a side incuding a minimum of two girls. It will be indoor and no special gear such as boots are required. If youre keen to play on the SASS team make sure you wear a white shirt!

For more infromation contact SASS Sports Director Alex Vustyan through Facebook or on sydneyarts.sport@gmail.com",Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000005,4395,10:00:00+1000,2016-08-10,0
228,sydneyartssociety,EcoSoc and SASS Back To Uni Pub Crawl!,270,468,434,0,468,1640,"Join Sydney University Economics & Econometrics Society and SASS - Sydney Arts Students Society on our combined second semester pub crawl and enjoy a few back to uni bevs.
We'll be heading up the Chippendale bars this time around.
The route is below:
5PM:Hermann’s Bar
University of Sydney

6PM:The Royal Hotel
370 Abercrombie St, Darlington

7PM:The Glengarry Castle Hotel
182 Lawson St, Redfern

7:30PM: The New Britannia Hotel
103 Cleveland St, Chippendale

8PM:The Rose Hotel
52-54 Cleveland St, Chippendale

9PM: The Two Wolves Cantina
202 Broadway, Chippendale

10PM: The Broadway Crown
166-172 Broadway, Chippendale

11PM: Bar Broadway
2 Broadway, Sydney

12AM: Scubar
Rawson Pl & St Laurence Ln, Haymarket

EcoSoc and SASS are both supporters of the responsible service of alcohol.
Provided by the University of Sydney Union.",Hermann's Bar,Sydney,Australia,"University of Sydney, Cnr City Rd & Butlin Ave Butlin Ave",2008.0,-33.88960056,151.1903887,4395,17:00:00+1000,2016-08-04,0
229,sydneyartssociety,SASS's 'Get Vivid' Booze Cruise!,190,325,596,0,325,1436,"SASS is back and we're here to provide you with dinner and a show, with dinner being a whole lotta booze and the show being VIVID SYDNEY 2016!

We know you're looking for a chance to celebrate the end of a flat out, ball-busting semester full of soy chai latte sipping and philosophical dissertations. We know you're hoping for an unforgettable night that you honestly probably will have trouble remembering (cos you gotta clear out some space in the memory bank to make room for last minute finals cramming, right?). And we know you're looking to do it all in style on a sick cruise with an even sicker light show in the background. 

This year we're still giving you a chance to get a lil dressed up, but we wanna spice it up and get VIVID as well. So break out your cocktail dress and button-up + blazer, but don't be afraid to throw in some colour as well - the more VIVID the better! 

So join us on June 2 (Thursday of the last week of semester!) for what's sure to be a spectacularly SASSy time. There'll be banging tunes, good food, A STEADY SUPPLY OF FREE ALC, a sweet DF and all your favourite SASSy mates. Tickets have sold out FAST in the past, so get on it asap. You won't wanna miss this. 

WHEN: Thursday, 2nd June, 7:45pm-11:45pm. Arrive at 7:15pm ON THE DOT for a 7:45pm SHARP departure. 
WHERE: King Street Wharf (Wharf No. 7) 
PRICE: $40.50 (ACCESS), $50.50 (NON-ACCESS)
ATTIRE: Cocktail (with a VIVID twist!)

This is a strictly 18+ event. No alcohol will be allowed onto the boat (that's what we're here for!). Anyone acting up on the wharf will not be allowed on the cruise. Anyone acting up on the boat will not be served at the discretion of the bartenders and security. Just don't act up pls. SASS and the USU promote responsible drinking.
Stay SASSy Xx",King Street Wharf,Sydney,Australia,"The Promenade, via Lime Street",2000.0,-33.86746674,151.2013324,4395,19:30:00+1000,2016-06-02,0
230,sydneyartssociety,SASS Inaugural TRIVIA NIGHT!,108,226,248,0,226,808,"Hello SASSy friends! 
Let's all get keen for the INAUGURAL TRIVIA NIGHT AT MANNING BAR!
We'll quiz you guys on all sorts of fun things and play fun games!
Did we forget to mention a chance to win FREE BOOZE?

Entry:
Free for Access
$5 for Non-Access
Drink vouchers are present so it's worth!!

So form a group of about 5-8 people and come for a swell time! But do not fret! If you don't have a group, there will be people there that will be more than happy to accomodate you.

Get ready to get quizzy up hurr with your friends right before the cruise ;)",Manning Bar,Sydney,Australia,"Manning House, Manning Rd, University of Sydney",2050.0,-33.88679946,151.187771,4395,17:00:00+1000,2016-05-31,0
231,sydneyartssociety,SASS Runs! Interfaculty sport - 3KM Run,15,20,92,0,20,147,"Last Interfaculty Sport event for the semester! 

After a great win at ultimate frisbee, lets keep the momentum going! Get ready to sweat as you run 3km around campus starting at Oval No.1 (behind Ralphs).

Also make sure to register you name at the tents before the race begins, and to wear SASS's Sports colour, white!",The University Of Sydney No 1 Oval,Sydney,Australia,,2006.0,-33.88823491,151.18496930000003,4395,14:00:00+1000,2016-05-25,1
232,sydneyartssociety,SASS Chucks! (A Frisbee) Interfaculty Sport - ULTIMATE FRISBEE,14,14,81,0,14,123,"Hello my SASSy friends. Take a break from the USU election campaign and play some ULTIMATE FRISBEE!!!

To not turn up would be to forfiet your identity as an arts student, I mean sport doesnt get any more hipster than this. Plus is fun I guess. 

Frisbee will be played indoor at the SUSAC courts. Make sure you wear white to show your SASS pride!",Sydney Uni Sport & Fitness,Sydney,Australia,University of Sydney,2008.0,-33.89105782,151.1915308,4395,10:00:00+1000,2016-05-18,0
233,sydneyartssociety,SASS Kicks! Interfaculty Sport Futsal (Female),6,16,16,0,16,54,"Your week 10 exercise, interfactulty futsal! 

For those who are unaware, futsal is pretty much soccer. For those that are aware, please dont crucify me.

The games will be indoor at SUSAC. No specailist footwear is required, regular running shoes will do.

For this event teams are strictly female, however, non-females are still welcome to spectate and cheer on our team :)

Male event can be found here: https://www.facebook.com/events/1729366297342368/

Dont forget to wear white!",Sydney Uni Sport & Fitness,Sydney,Australia,University of Sydney,2008.0,-33.89105782,151.1915308,4395,10:00:00+1000,2016-05-11,0
234,sydneyartssociety,SASS Kicks! Interfaculty Sport Futsal (Male),12,24,56,0,24,116,"Your week 9 exercise, interfactulty futsal! 

For those who are unaware, futsal is pretty much soccer. For those that are aware, please dont crucify me.

The games will be indoor at SUSAC. No specailist footwear is required, regular running shoes will do.

For this event teams are strictly male, however, non-males are still welcome to spectate and cheer on our team :)

The event for female futsal can be found here: https://www.facebook.com/events/1112309445508693/

Dont forget to wear white!",Sydney Uni Sport & Fitness,Sydney,Australia,University of Sydney,2008.0,-33.89105782,151.1915308,4395,10:00:00+1000,2016-05-04,0
235,sydneyartssociety,SASS Swings (A Racket) - Interfaculty Sport Tennis,11,19,34,0,19,83,"Hello all, after a short break, interfac sport is back on the 27th of April.

The next sport is Tennis. Rackets will be kindly provided by the SUSF but remember to wear appropriate footwear. We'll need plenty of players (boys and girls) and one umpire (plus a cheer squad). 

For more info or to confirm attendence, contact SASS Sports Director Alex Vustyan on sydneyarts.sport@gmail.com or over facebook.",Sydney Uni Sport & Fitness,Sydney,Australia,University of Sydney,2008.0,-33.89105782,151.1915308,4395,10:00:00+1000,2016-04-27,0
236,sydneyartssociety,SASS - ARNA Editor Call Out! [CLOSING TONIGHT],43,58,162,0,58,321,"ARNA is a prestigious annual literary journal published by the Sydney Arts Students Society, and one of the oldest of its kind in Australia. First published in 1918, every year this journal publishes the best art, literature and creative pieces from students and alumni of the University of Sydney, showcasing the diverse and excellent works from this institution.

We are on the search for a team of talented and enthusiastic editors to fulfill the following positions on our 2016 editorial team:
-	General Editor x2
-	Art Team Leader
-	Poetry Team Leader
-	Creative Writing Team Leader
-	Art Sub-Editor x3
-	Poetry Sub-Editor x3
-	Creative Writing Sub-Editor x3

Being part of the editorial team, you will be tasked with collecting and collating submissions, which fall under your respective category, editing them and liaising with their writers or artists. Marketing is another crucial part of this position, encouraging submissions, social media promotion and event planning for the launch in semester 2. Experience is not required, and we highly value passion, strong verbal and written communication skills, and a refined attention to detail. ARNA will be receiving submissions between May and July, so editors must be available between May and September.

We warmly invite all students of any faculty to submit applications for General Editors, Art, Poetry and Creative Writing Team Leaders and Sub-Editors. You can apply for more than one position (though you can only hold one) and we will be holding interviews in the near future if you are being considered for the role. Please follow the link and fill out the form: http://goo.gl/forms/jlyBbYjWIP

If you have any further queries, please direct them to editor-in-chief, Eden, via sydneyarts.publications@gmail.com, or the Sydney Arts Students Society Facebook page. 

Applications close midnight on the 8th of April.",Sydney Arts Students Society - SASS,Sydney,Australia,,2006.0,-33.88660217,151.1877995,4395,00:01:00+1000,2016-04-12,1
237,sydneyartssociety,SASS (Arts) Swims! Interfaculty Sport Swimming,7,20,66,0,20,113,"Week 5 Interfaculty Sport: Swimming

What's the best way to come back to uni after the break? A nice refreshing swim before class should be on your list! Come down to SUSAC show the other faculties who rules the waves.

There will be individual stroke events and relays with a maximum of 4 swimmers per stroke (2 boys 2 girls). Whether you are a keen swimmer or just want to have a go, everyone is welcome to participate.

For more details contact SASS Sports Director Alex Vustyan on sydneyarts.sport@gmail.com or PM.",Sydney University Sports and Aquatic Centre,Sydney,Australia,"Lower Ground, Darlington Rd & Codrington Street",2008.0,-33.89123,151.19106000000005,4395,10:00:00+1000,2016-04-06,0
238,sydneyartssociety,SASS's Semester One Pub Crawl!,386,524,570,0,524,2004,"So you're two weeks into uni and you already want to drop out - fair play. Those cruelly long twelve hour weeks are hard on the body, mind and soul.* Luckily, we've got a much less drastic way to numb the pain: a night out with SASS at our first pub crawl for 2016! Join us as we make our (sloppy) way through the streets of Newtown on what's sure to be a night to remember (or forget, depending on how many cocktails you slam down during Kuleto's infamous happy hour). 

Hermann's -  5pm-6pm (Happy Hour!)
Kuleto's Cocktail Bar (6pm-7:30pm - 2 for 1 Cocktails!)
Newtown Hotel - 7:30pm-9:00pm
The Bank - 9:00pm until you hate yourself 

P.S. You may not end up remembering the night, but photographic evidence lasts a lifetime. SASS and the USU promote and support responsible drinking.

*real talk, shout out to our science mates slogging it out for 25+ hours every week 

As always, stay safe and stay SASSy Xx

P.S. Our timetable is just a rough guide! We will be posting regular updates here on the night in case anyone arrives late/gets lost <3",Sydney Arts Students Society - SASS,Sydney,Australia,,2006.0,-33.88660217,151.1877995,4395,17:00:00+1100,2016-03-23,1
239,sydneyartssociety,SASS (Arts) Takes Interfaculty Cricket!,12,27,121,0,27,187,"It's time to get excited for some SASS domination when we take on the other faculties in cricket. Bring your friends and get ready to get SASSY.

You can contact our Sports Director Alex Vustyan at sydneyarts.sport@gmail.com or over facebook for more info and/or confirm that youre coming.

All abilities welcome!!!",Sydney Uni Sport & Fitness,Sydney,Australia,University of Sydney,2008.0,-33.89105782,151.1915308,4395,10:00:00+1100,2016-03-23,0
240,sydneyartssociety,SASS's First Year Arts Camp 2016!,104,70,98,0,70,342,"HERE YE HERE YE, COME ONE COME ALL. HERE IS THE EVENT WE'VE ALL BEEN WAITING FOR!
With the assurance of fun with our annual SASS Mud Run, and where the dance moves ‘on the floor’ will have you begging for more -
Arts Camp 2016 who would never leave you askew, is OFFICIALLY coming to you!

Ticket sales will begin at O-Week 24th February at 12:00pm and can be bought online, from the links below. Tickets will cost $137 for non-access students, and $131 for access students. This includes the cost of transportation to and from the camp, food, accommodation, and ALCOHOL. 

Only one ticket can be purchased per transaction. Tickets are refundable up until a week prior to the event. 

Buses will leave from Sydney University at approx. 2:00pm on Friday 11th March, and then return to Sydney University on Sunday 13th March by approx. 2:00pm. More details to come soon!

-TICKET SALES HERE-
Choose from either of the following two links (Blue pill or Red pill)
http://www.trybooking.com/184837 

http://www.trybooking.com/KNLD

Stay SASSY and above all stay safe! :)

The USU supports responsible drinking.",Sydney Arts Students Society - SASS,Sydney,Australia,,2006.0,-33.88660217,151.1877995,4395,14:00:00+1100,2016-03-11,1
241,sydneyartssociety,SASS's Welcome Back to Uni Drinks!,181,363,217,0,363,1124,"We know that getting used to the whole uni grind after three months of summer bliss can be a bit of a drag. Luckily, we've got the perfect solution to help you find your groove: a lil bit of light mingling and a couple of cheeky drinks with your favourite SASSy society! Join us at Hermann's from 5pm to catch up with old friends, make new ones, or to just take advantage of happy hour (tutorials will be starting. No-one's gonna blame you if you need to throw back a few beers). 

This event is open to ALL students! Whether you're an undergrad or postgrad, take four arts units or just one, or even if you just like watching history documentaries or reading that cute philosophical quote that Forbes sometimes posts whilst you're waiting for your article to load, we'd love to see you there! 

P.S. There will be free drink vouchers. Come to get learnt stay to get turnt 

SASS and the USU support responsible drinking.",Hermann's Bar,Sydney,Australia,"University of Sydney, Cnr City Rd & Butlin Ave Butlin Ave",2008.0,-33.88960056,151.1903887,4395,17:00:00+1100,2016-03-07,0
242,sydneyartssociety,Starry Night - SASS Ball 2015,482,48,348,0,48,926,"The Sydney Arts Students Society invites you to Arts Ball 2015, “Starry Night”.

Ticket sales begin Thursday 10th September at 12pm!

This is the event you've all been waiting for, so bring your friends together and join your fellow SASS members for a night of elegance, dancing and all around SASSy times!  

We've been with you every step of the way, from the crazy SASS pub crawls, the SASS cruise, lazing on the law lawns with friends, and grabbing coffee from courtyard to stay awake after that allnighter - we can't wait to reminisce and celebrate the year with you!

When: Thursday 5th November
Time: 6:00 - 10:30
Where: The Ivy Ballroom
Attire: Formal
Cost per ticket: $114 Access, $120 Non-Access
What your ticket includes:

- Three course meal (entrée, main and dessert)
- Open bar, including: Heineken, Corona, Boags Light, Merivale Sparkling, Jasper by Merivale Sauvignon Blanc, Enchanted Tree Cabernet Sauvignon, S. Pellegrino sparkling mineral water, juice and soft drinks
- White / black linen tablecloths, white linen napkins, crockery, cutlery & glassware
- Cocktail furniture
- In house background music
- Dance floor 

The drinks will be flowing, the music booming and the smiles glowing! 

Ticket are limited so don’t miss out! Stay posted for more details!

Please note that refunds will be provided on request up to one week before the event, after which tickets can be sold on to other people so long as SASS is notified via our Facebook page. 

*The USU promotes the responsible service of alcohol",The Ivy ballroom,Sydney,Australia,330 George St,2000.0,-33.866620000000005,151.20746,4395,18:00:00+1100,2015-11-05,0
244,sydneyartssociety,SASS Pub Crawl Vol. 2,480,59,303,0,59,901,"As the timeless saying goes:

'Don't break what isn't broken, just do the exact same thing as last time and hope that no one notices'

With assessments burdening your heart, mind and soul, SASS is here to lend a hand and help you forget all your problems and stresses (literally).

The tradition continues with the SASS s̶e̶m̶e̶s̶t̶e̶r̶ ̶1̶ semester 2 pub crawl down King Street. Be apart of the inevitable madness as we dawdle through Newtown, spreading our SASS all around. The SASS pub crawl has seen many rowdy occasions, notably a bird tattoo and broken bones. 

Whether you haven't experienced a SASS social yet, joined us for our semester 1 pub crawl, or were all aboard for our cruise, don't miss the hilarious chaos that is the SASS pub crawl. 

Hermann's Bar: 5-6
Kuletos: 6-7:30 (2 for 1 cocktails at happy hour, yay!)
Newtown Hotel: 7:30-9
The Bank: 9-your inevitable McDonalds/kebab craving",Hermann's Bar,Sydney,Australia,"University of Sydney, Cnr City Rd & Butlin Ave Butlin Ave",2008.0,-33.88960056,151.1903887,4395,17:00:00+1000,2015-08-12,0
245,sydneyartssociety,[EXTENDED] ARNA Callout for Submission,197,16,725,0,16,954,"EXTENDED FOR 2 WEEKS UNTIL MIDNIGHT 14TH AUGUST

ARNA is the prestigious annual literary journal published by the Sydney Arts Students Society, and one of the oldest of its kind in Australia. Every year, it publishes the best of its art and literature submissions by students and alumni of Sydney University.

We are looking for short fiction, poetry, non-fiction, plays, photography and art submissions from Usyd's emerging writers and artists. This year we will be reading the submissions blind.

Submissions are open from the 8th of June until the 31st of July. http://goo.gl/vE7Lfn

----------------------------------------------------------------------
Guidelines:

PROSE PIECES (FICTION, NON-FICTION)
Submit no more than two works, up to 3500 words each.

POETRY
Submit no more than five poems, up to 50 lines each.

VISUAL ART
Send no more than five works, please supply your images at actual size and 300dpi. We also accept 3D art (to be displayed at the launch) and pitches for comics, send us an email for more details.

Remember to title your work and please do not include your name in the document, as we are reading the submissions blind. For written pieces, please submit file as either a .doc or .docx, please do not send PDFs or obscure formats. For visual pieces, please submit as an image file.

If you have any further enquiries, please contact Whitney and Tahlia at sydneyarts.publications@gmail.com",Sydney Arts Students Society - SASS,Sydney,Australia,,2006.0,-33.88660217,151.1877995,4395,17:00:00+1000,2015-06-08,1
246,sydneyartssociety,The Inaugural SASS Booze Cruise,336,31,225,0,31,623,"Ahoy! :D 

Since the beginning of time, a prophecy has been passed down generation to generation:  

""Event there shall be, an event so SASSy, that conquer the seven seas it will"" 

Welcome, to the Inaugural SASS Booze Cruise! 

Struggling with pre-exam blues? 
Holidays so close but just to far? 
Ever wanted to sing about being on a boat while actually being on a boat? 

Then come join us for a night of SASSy debauchery and good times. Memories will be made, friendships will be forged, and dance battles will be aplenty. 

Need more convincing? The cruise is during the Vivid Light, Music and Ideas Festival.  

TICKETS ON SALE NOW! EVERYONE IS WELCOME! MAKE SURE TO GET YOUR TICKET ASAP! 

When: Thursday 4th June
Time: 7:15 - 11:15 (must arrive at Kings Street Wharf by 7) 
Where: Pick-up and return at Kings Street Wharf (near Cargo Bar)
Cost per ticket: $54 Access, $60 non-Access
Attire: cocktail
What your ticket includes: 

- Finger food
- All night beer, wine soft drinks and juices*
- DJ and light show
- Tasteful décor 
- White linen table cloth and paper napkins
- Splendid Harbour views from our alfresco decks
- Security guard

Please not that refunds will be provided on request up to one week before the event, after which tickets can be sold on to other people so long as SASS is notified via our Facebook page. 

Should Vagabond Cruises consider a person to be to intoxicted they will not allow them to board the vessel. Furthermore, during the cruise, should they consider a person to have had to much to drink they will refuse to serve them any more alcoholic drinks. Alcohol is not permitted to be brought onto the vessel. 

Common sense yeah? 

If you have any questions or concerns, please do not hesitate to contact us via our Facebook page. 

*SASS and the USU support responsible drinking.",Sydney Arts Students Society - SASS,Sydney,Australia,,2006.0,-33.88660217,151.1877995,4395,19:00:00+1000,2015-06-04,1
247,sydneyartssociety,SASS SEMESTER 1 PUB CRAWL,665,71,457,0,71,1264,"With assessments burdening your mind, heart and soul, SASS is here to lend a hand and help you forget all your problems and stresses (literally).
The tradition continues with the SASS semester 1 pub crawl down King Street. Be apart of the inevitable madness as we dawdle through Newtown, spreading our SASS all around. SASS pub crawl has seen many rowdy occasions, notably a bird tattoo and broken bones - so please please please, don't miss the hilarious chaos that is the SASS pub crawl.
The current route:
- 5pm Hermanns
- 6-7:30 Kuletos (2 for 1 cocktails at happy hour yay!)
- Newtown Hotel
- The Bank","King Street, Newtown",Sydney,Australia,King St,2042.0,-33.89666865,151.18045790000005,4395,17:00:00+1100,2015-04-01,0
249,sydneyartssociety,#ArtsCamp2015,189,19,90,0,19,317,"Are you a first year Arts student? 
Want to meet other Arts students while having frivolous fun? 
Want to dance the night away and forget about all your readings and upcoming assignments? 
Want to make the best of friends, brave the mud run and have a splash on the water slide?
Then Arts Camp is the event for you!!
Join other first year Arts students on the 20th-22nd for a weekend of fun and get super SASSy ;)

Ticket sales will begin Wednesday 4th March at 12:00pm. Tickets will cost $138 for non-access students, and $132 for access students. This includes the cost of transportation to and from camp, food, accommodation, and alcohol. 

Only one ticket can be purchased per transaction. Tickets are refundable up until a week prior to the event.  

Buses will leave from Sydney University at approx. 2:30pm on Friday 20th March, and then return to Sydney University on Sunday 22nd March by approx. 2:30pm. 

The USU supports responsible drinking.

""Dawn"" by Ed Dunens  is licensed by CC by 2.0 https://www.flickr.com/photos/blachswan/",Cataract Scout Park,Appin,Australia,Baden Powell Dr,2560.0,-34.24274618,150.817961,4395,14:30:00+1100,2015-03-20,0
250,sydneyartssociety,SASS Welcome Drinks,438,38,192,0,38,706,"Ring in the new uni year with your favourite society ;) SASS is here to numb the ""start of tutorials and readings"" pain and stresses with welcome drinks at Hermanns. Get back into the groove of uni life and join your SASSy friends from 5pm!

ALL AGES EVENT. First year, second year, third year... all undergrads and all postgrads are welcome

""University of Sydney quad"" by Andrea Shaffer is licensed by CC by 2.0 
https://www.flickr.com/photos/aschaf/",Hermann's Bar,Sydney,Australia,"University of Sydney, Cnr City Rd & Butlin Ave Butlin Ave",2008.0,-33.88960056,151.1903887,4395,17:00:00+1100,2015-03-11,0
253,sydneyartssociety,SASS hosts ARNA 2014 Launch,185,40,358,0,40,623,"Brace yourselves. The baddest bad boy of all creative journal launches has arrived! Eight months and nineteen editors in the making, and more fantastic contributors than you can swing a dead cat at. We are delighted to bring you the launch of ARNA 2014, the annual creative journal of the Sydney Arts Students' Society (SASS), held this year as part of the 2014 University of Sydney Union Verge Festival. 

We are beyond excited to showcase the talents of our fellow students and to whet your creative and digestive appetites for an evening of intellectually stimulating frivolity. Complementary drinks will be provided, along with some light entertainment and live music. Copies of our creative lovechild will also be available for purchase. 

Consider this the Rolls Royce of all Friday night pre-drinks.

Details of the launch:
Time: 5-7pm Friday October 10th
Venue: The Tate Gallery above the Toxteth Hotel, 345 Glebe Pt Rd
Entry cost: $5 Access, $11 Non-Access

During Verge we also have SASSFactor: http://tinyurl.com/SASSFactor

For more Verge Festival events, click here: http://on.fb.me/1swCqKa",Sydney Arts Students Society - SASS,Sydney,Australia,,2006.0,-33.88660217,151.1877995,4395,17:00:00+1100,2014-10-10,1
254,sydneyartssociety,SASSFactor!,83,18,271,0,18,390,"Wahey! SASSAROOS! It's that time of year again - that's right, the annual* SASS FACTOR TALENT CHAMPIONSHIPS. Grab your mikes, grab your magic and roll on down to the talent stadium at Hermann's Bar. SASSFactor is being held this year as part of the 2014 University of Sydney Union Verge Festival. 

Registrations are open now for all keen beans with itchy feet, unable to wait till they can hop on staged  and woo the crowds. 

All acts are welcome - come one, come all. 

So, warm up the vocal chords, practice your acts and limber up folks! The time is nigh for your moment of stardom.

Register at: http://goo.gl/forms/XiZkBhaA24

During Verge we also have our ARNA launch: http://tinyurl.com/ARNALaunch

For more Verge Festival events, click here: http://on.fb.me/1swCqKa

NB: SASS will be acting in accordance with a 'No Dickheads Policy'. By substantiation, any acts that are discriminatory in any way will be not tolerated.",Hermann's Bar,Sydney,Australia,"University of Sydney, Cnr City Rd & Butlin Ave Butlin Ave",2008.0,-33.88960056,151.1903887,4395,19:30:00+1100,2014-10-09,0
